"Data Source","World Development Indicators",

"Last Updated Date","2021-11-23",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","4.03225805628625","1.07396640826832","3.64304545817704","3.12186849610724","3.99162804604573","5.83668775158168","5.55555555555579","3.87337536996478","5.21555996035712","6.3110797127044","3.36139107320895","3.22528797213981","2.99994809778411","1.8694885361554","2.28037198258756","4.04402131190514","2.8836043031626","3.31524678585428","3.65636507938414","2.52912946932762","3.39778677828806","3.60802438784541","5.39256784475512","8.9559870517779","-2.13542872046934","2.07814071860782","4.31629742195207","0.627471992893334","-2.37206524252253","0.42144091888116","0.474763597342612","-0.931195987079616","-1.02828178762002","3.62604141352956","4.25746204335428","",
"Africa Eastern and Southern","AFE","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","","","","","","","","","","","","","","","19.5983935742147","15.2240989352891","11.2164767974112","14.2380554942681","12.52689251464","15.0698498241015","15.0665115372509","14.4615910742106","12.1399176954734","11.5675243834069","10.9838625715774","13.0065664218827","13.8919716455566","12.5634432211069","12.522253626804","12.5582020707012","12.4579139789566","17.6781002638522","16.1676123963339","13.1356607683724","14.852814983397","12.2885912601426","9.70658632526506","10.2495987403067","7.49525908567409","7.81986477630863","8.6014851485149","5.84035398311558","8.76375164814544","7.44970014007364","5.02342068616284","8.55803802239772","8.89816380214033","8.45077480634995","12.5666446595157","8.95421802392944","5.53753791645677","8.97120640995792","9.15870715471667","5.74694885275767","5.37028961008588","5.25017086354882","6.59460441456991","6.39934341569383","4.72081138877302","3.92337243454464","4.97809676252292",
"Afghanistan","AFG","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.6862687216715","6.78459655001657","8.68057078513406","26.4186641547444","-6.81116108898995","2.1785375238942","11.8041858089129","6.44121280934118","7.38577178397857","4.67399603536339","-0.661709164713696","4.38389195513914","4.9759515055383","0.626149149168811","2.30237251516844","",
"Africa Western and Central","AFW","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","","","","","","","","","","","","","","","","","","","","","","8.79921083308779","12.0597652081337","10.6719367588933","11.2499999999997","7.35492577597832","5.95096499946617","0.248788555354769","2.52365930599391","0.869287022608277","1.05736139457208","1.74188785932667","-0.0629990064786967","0.553455723541917","31.8410168416385","10.5632886691814","4.91423972637199","3.99714170439302","4.471125438511","0.372266170311917","2.53077516737993","4.36152914007253","3.18869330220589","1.76090410099629","0.694336305945748","5.63163351357613","4.41589984169562","3.60736767984596","8.44972153523289","3.2824403758932","1.78484420477115","4.01869907534491","4.57837463515945","2.43920076104128","1.7580519603779","2.13026806151513","1.49456366409864","1.76463495159564","1.48102062871614","1.75856517595659","2.42500656821829",
"Angola","AGO","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83.7837837837838","299.509803921569","1378.52760736196","949.792531120332","2666.45059288538","4145.10598220638","219.176721172974","107.284821528298","248.195902412868","324.996871601321","152.561022469299","108.897436089429","98.2241436573305","43.5421067519686","22.953513851394","13.3052101780031","12.2514974459487","12.4758291326398","13.7302839288409","14.4696564932576","13.4824679218512","10.2779049218839","8.77781429332618","7.28038730361125","9.15037207517202","30.6953129934938","29.8435866918797","19.6286077209765","17.0812152138993","",
"Albania","ALB","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","226.005421253526","85.0047512387157","22.5650526933695","7.79321853789217","12.7254778087102","33.1802743753956","20.6428588670596","0.389437653561642","0.0500181363468379","3.10758827031432","7.77052583431552","0.484002611818479","2.28001916938099","2.36658195679796","2.37072831904282","2.9326824816232","3.36313757366387","2.23139683475871","-4.29847468635621","3.42912324722164","2.03159268395298","1.93762080205227","1.62586504402607","3.50120835492656","-0.367317209784628","2.0605984592022","2.02805963071136","1.41109078954248","1.62088661717004",
"Andorra","AND","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","","","","","","","","","","","","","","8.26666666600004","15.5282817502668","9.66969548151247","10.3174158877413","11.989283322105","9.71603274954343","","9.62605664613179","10.7585034160145","8.33125575581154","5.49366551432092","8.11639795517099","7.25436179981637","6.7988584474884","4.2224166624075","5.9115449637349","7.74088603961338","8.45146240803884","9.00000000000004","9.35975158953137","9.37034415971456","5.11259890444316","6.5437906852417","4.68130623916412","3.60116103260948","3.417319489758","2.66937369053699","1.85379035325276","1.77220437351018","1.83299389002049","2.7125924747435","3.63228004956626","3.4936853461953","3.54498591605032","4.74390639021646","11.2706652380848","2.92089711805365","3.91106195534027","4.75316388885632","4.61184432206646","3.23810833914068","2.7735161312612","1.81407723937759","2.06884036053476","1.96682557818839","2.45814158007533","1.09184802655847","1.54583177295074",
"United Arab Emirates","ARE","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.250420244814","1.56181317449067","0.877983288285896","0.877346595685083","0.662268900269082","1.10111836375706","2.34626865671643","4.06996608361598","1.61748808904192","1.96682557818839","3.06863379251994","-1.93108114782171","-2.0794031794094",
"Argentina","ARG","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
